86,43,5
5,36,3
16,58,2
66,47,5
20,37,3
89,27,5
56,68,1
21,42,3
96,22,5
72,80,4
99,10,5
20,74,2
59,19,5
70,23,5
81,86,4
53,14,5
72,60,4
2,80,2
10,77,2
81,76,4
44,86,1
3,58,2
7,32,3
89,6,5
61,50,1
31,74,2
96,47,5
100,60,4
96,66,4
0,82,2
17,1,3
2,43,3
8,80,2
15,62,2
81,28,5
45,78,1
48,42,1
61,82,4
24,33,3
23,39,3
37,20,3
99,54,5
5,76,2
45,74,1
87,75,4
61,36,5
46,94,2
58,74,1
73,93,4
37,53,1
41,25,3
88,98,4
79,43,5
19,44,3
60,68,1
93,46,5
76,94,4
20,47,3
17,70,2
55,22,5
12,43,3
100,87,4
5,42,3
54,67,1
13,93,2
61,37,5
99,52,5
6,18,3
23,15,3
93,47,5
70,12,5
49,40,1
42,82,1
85,74,4
93,3,5
2,44,3
39,29,3
29,60,1
13,68,2
62,69,4
37,17,3
83,33,5
7,86,2
80,99,4
7,83,2
74,35,5
75,7,5
41,57,1
20,97,2
57,93,4
23,95,2
57,74,1
37,78,2
55,98,4
34,30,3
23,38,3
38,31,3
43,54,1
39,54,1
6,73,2
