86,43,2
5,36,1
16,58,3
66,47,2
20,37,1
89,27,2
56,68,2
21,42,1
96,22,2
72,80,2
99,10,2
20,74,3
59,19,1
70,23,2
81,86,2
53,14,1
72,60,2
2,80,3
10,77,3
81,76,2
44,86,3
3,58,3
7,32,1
89,6,2
61,50,2
31,74,3
96,47,2
100,60,2
96,66,2
0,82,3
17,1,1
2,43,1
8,80,3
15,62,3
81,28,2
45,78,3
48,42,1
61,82,2
24,33,1
23,39,1
37,20,1
99,54,2
5,76,3
45,74,3
87,75,2
61,36,2
46,94,3
58,74,2
73,93,2
37,53,1
41,25,1
88,98,2
79,43,2
19,44,1
60,68,2
93,46,2
76,94,2
20,47,1
17,70,3
55,22,1
12,43,1
100,87,2
5,42,1
54,67,2
13,93,3
61,37,2
99,52,2
6,18,1
23,15,1
93,47,2
70,12,2
49,40,1
42,82,3
85,74,2
93,3,2
2,44,1
39,29,1
29,60,3
13,68,3
62,69,2
37,17,1
83,33,2
7,86,3
80,99,2
7,83,3
74,35,2
75,7,2
41,57,1
20,97,3
57,93,3
23,95,3
57,74,2
37,78,3
55,98,3
34,30,1
23,38,1
38,31,1
43,54,1
39,54,1
6,73,3
