86,43,1
5,36,2
16,58,2
66,47,1
20,37,2
89,27,1
56,68,4
21,42,2
96,22,1
72,80,4
99,10,1
20,74,5
59,19,3
70,23,1
81,86,4
53,14,3
72,60,4
2,80,5
10,77,5
81,76,4
44,86,4
3,58,5
7,32,2
89,6,1
61,50,1
31,74,5
96,47,1
100,60,1
96,66,4
0,82,5
17,1,3
2,43,2
8,80,5
15,62,5
81,28,1
45,78,4
48,42,2
61,82,4
24,33,2
23,39,2
37,20,3
99,54,1
5,76,5
45,74,4
87,75,4
61,36,1
46,94,4
58,74,4
73,93,4
37,53,2
41,25,3
88,98,4
79,43,1
19,44,2
60,68,4
93,46,1
76,94,4
20,47,2
17,70,5
55,22,3
12,43,2
100,87,4
5,42,2
54,67,4
13,93,5
61,37,1
99,52,1
6,18,3
23,15,3
93,47,1
70,12,1
49,40,2
42,82,4
85,74,4
93,3,1
2,44,2
39,29,3
29,60,2
13,68,5
62,69,4
37,17,3
83,33,1
7,86,5
80,99,4
7,83,5
74,35,1
75,7,1
41,57,2
20,97,5
57,93,4
23,95,5
57,74,4
37,78,5
55,98,4
34,30,3
23,38,2
38,31,3
43,54,2
39,54,2
6,73,5
