86,43,1
5,36,3
16,58,2
66,47,1
20,37,3
89,27,1
56,68,4
21,42,3
96,22,1
72,80,4
99,10,1
20,74,2
59,19,5
70,23,5
81,86,4
53,14,5
72,60,4
2,80,2
10,77,2
81,76,4
44,86,4
3,58,2
7,32,3
89,6,1
61,50,5
31,74,2
96,47,1
100,60,1
96,66,1
0,82,2
17,1,3
2,43,3
8,80,2
15,62,2
81,28,1
45,78,4
48,42,5
61,82,4
24,33,3
23,39,3
37,20,5
99,54,1
5,76,2
45,74,4
87,75,4
61,36,5
46,94,4
58,74,4
73,93,4
37,53,3
41,25,5
88,98,4
79,43,1
19,44,3
60,68,4
93,46,1
76,94,4
20,47,3
17,70,2
55,22,5
12,43,3
100,87,4
5,42,3
54,67,4
13,93,2
61,37,5
99,52,1
6,18,3
23,15,3
93,47,1
70,12,5
49,40,5
42,82,4
85,74,4
93,3,1
2,44,3
39,29,5
29,60,2
13,68,2
62,69,4
37,17,5
83,33,1
7,86,2
80,99,4
7,83,2
74,35,1
75,7,5
41,57,2
20,97,2
57,93,4
23,95,2
57,74,4
37,78,2
55,98,4
34,30,5
23,38,3
38,31,5
43,54,5
39,54,3
6,73,2
